Var1,Var2,Var3,Var4
-20,-20,-25,-15.0907847962528
-20,-19,-25,-15.4468550869678
-20,-18,-25,-17.5241637248315
-20,-17,-25,-22.624084903428
-20,-16,-25,-35.9498245773087
-20,-15,-25,-22.0622284474384
-20,-14,-25,-16.7406429958406
-20,-13,-25,-14.1323995084617
-20,-12,-25,-12.8659500531065
-20,-11,-25,-12.4805300826404
-20,-10,-25,-12.7625159927244
-20,-9,-25,-13.5945795351207
-20,-8,-25,-14.9056781416884
-20,-7,-25,-16.6508826882654
-20,-6,-25,-18.8032492737207
-20,-5,-25,-21.3539655946174
-20,-4,-25,-24.3255173934037
-20,-3,-25,-27.8190321376047
-20,-2,-25,-32.1779522706139
-20,-1,-25,-38.7606479995919
-20,0,-25,-329.652369875825
-20,1,-25,-38.7606479995919
-20,2,-25,-32.1779522706138
-20,3,-25,-27.8190321376047
-20,4,-25,-24.3255173934037
-20,5,-25,-21.3539655946174
-20,6,-25,-18.8032492737206
-20,7,-25,-16.6508826882654
-20,8,-25,-14.9056781416884
-20,9,-25,-13.5945795351207
-20,10,-25,-12.7625159927244
-20,11,-25,-12.4805300826404
-20,12,-25,-12.8659500531065
-20,13,-25,-14.1323995084617
-20,14,-25,-16.7406429958406
-20,15,-25,-22.0622284474384
-20,16,-25,-35.9498245773087
-20,17,-25,-22.624084903428
-20,18,-25,-17.5241637248315
-20,19,-25,-15.4468550869678
-20,20,-25,-15.0907847962528
-19,-20,-25,-15.1995737352384
-19,-19,-25,-17.2036225584591
-19,-18,-25,-22.5042535751364
-19,-17,-25,-39.5591150462406
-19,-16,-25,-21.3707551124218
-19,-15,-25,-16.240243633
-19,-14,-25,-13.8715067096125
-19,-13,-25,-12.9203665215148
-19,-12,-25,-12.9581765998899
-19,-11,-25,-13.8122504988096
-19,-10,-25,-15.4251335895043
-19,-9,-25,-17.8187873446351
-19,-8,-25,-21.0944630890441
-19,-7,-25,-25.4177910302541
-19,-6,-25,-30.5894890506044
-19,-5,-25,-33.6979431949446
-19,-4,-25,-33.266733896016
-19,-3,-25,-33.3369911568014
-19,-2,-25,-35.2791111260381
-19,-1,-25,-40.4373557350042
-19,0,-25,-332.270732621882
-19,1,-25,-40.4373557350042
-19,2,-25,-35.2791111260381
-19,3,-25,-33.3369911568014
-19,4,-25,-33.266733896016
-19,5,-25,-33.6979431949445
-19,6,-25,-30.5894890506043
-19,7,-25,-25.4177910302541
-19,8,-25,-21.0944630890441
-19,9,-25,-17.8187873446351
-19,10,-25,-15.4251335895043
-19,11,-25,-13.8122504988096
-19,12,-25,-12.9581765998899
-19,13,-25,-12.9203665215148
-19,14,-25,-13.8715067096125
-19,15,-25,-16.240243633
-19,16,-25,-21.3707551124218
-19,17,-25,-39.5591150462406
-19,18,-25,-22.5042535751364
-19,19,-25,-17.2036225584591
-19,20,-25,-15.1995737352384
-18,-20,-25,-16.9151390070014
-18,-19,-25,-21.5034775754257
-18,-18,-25,-34.0727810397297
-18,-17,-25,-22.1076762456295
-18,-16,-25,-16.8412179505488
-18,-15,-25,-14.6277383492945
-18,-14,-25,-14.0597880766191
-18,-13,-25,-14.768847306039
-18,-12,-25,-16.7619166152692
-18,-11,-25,-20.4425895063819
-18,-10,-25,-27.2116371589346
-18,-9,-25,-31.7030220885492
-18,-8,-25,-24.6801958727133
-18,-7,-25,-21.4659479221619
-18,-6,-25,-20.1827022988996
-18,-5,-25,-20.0700940737257
-18,-4,-25,-20.8851622720854
-18,-3,-25,-22.6476851891432
-18,-2,-25,-25.7095391942495
-18,-1,-25,-31.4789190505403
-18,0,-25,-334.684610448664
-18,1,-25,-31.4789190505403
-18,2,-25,-25.7095391942495
-18,3,-25,-22.6476851891432
-18,4,-25,-20.8851622720855
-18,5,-25,-20.0700940737257
-18,6,-25,-20.1827022988996
-18,7,-25,-21.4659479221619
-18,8,-25,-24.6801958727134
-18,9,-25,-31.7030220885493
-18,10,-25,-27.2116371589346
-18,11,-25,-20.4425895063819
-18,12,-25,-16.7619166152692
-18,13,-25,-14.768847306039
-18,14,-25,-14.0597880766191
-18,15,-25,-14.6277383492945
-18,16,-25,-16.8412179505488
-18,17,-25,-22.1076762456296
-18,18,-25,-34.0727810397297
-18,19,-25,-21.5034775754257
-18,20,-25,-16.9151390070014
-17,-20,-25,-19.8509852660617
-17,-19,-25,-24.7726781390057
-17,-18,-25,-21.3123995526479
-17,-17,-25,-17.1340828241727
-17,-16,-25,-15.3389960198649
-17,-15,-25,-15.344992656354
-17,-14,-25,-17.121554707065
-17,-13,-25,-21.5440664307119
-17,-12,-25,-36.016513728468
-17,-11,-25,-25.3596656451577
-17,-10,-25,-18.8855979125737
-17,-9,-25,-16.0500270661131
-17,-8,-25,-14.7615960837481
-17,-7,-25,-14.434054615558
-17,-6,-25,-14.8247888566649
-17,-5,-25,-15.8305868615264
-17,-4,-25,-17.4444768992364
-17,-3,-25,-19.7840392284881
-17,-2,-25,-23.2432287547213
-17,-1,-25,-29.2472617285538
-17,0,-25,-340.163895100299
-17,1,-25,-29.2472617285538
-17,2,-25,-23.2432287547213
-17,3,-25,-19.7840392284881
-17,4,-25,-17.4444768992364
-17,5,-25,-15.8305868615264
-17,6,-25,-14.8247888566649
-17,7,-25,-14.434054615558
-17,8,-25,-14.7615960837481
-17,9,-25,-16.0500270661131
-17,10,-25,-18.8855979125737
-17,11,-25,-25.3596656451577
-17,12,-25,-36.016513728468
-17,13,-25,-21.5440664307119
-17,14,-25,-17.121554707065
-17,15,-25,-15.344992656354
-17,16,-25,-15.3389960198649
-17,17,-25,-17.1340828241727
-17,18,-25,-21.3123995526479
-17,19,-25,-24.7726781390057
-17,20,-25,-19.8509852660617
-16,-20,-25,-21.5227506941786
-16,-19,-25,-19.7357834052718
-16,-18,-25,-16.6245752517588
-16,-17,-25,-15.2253490140423
-16,-16,-25,-15.6550409945155
-16,-15,-25,-18.249901490905
-16,-14,-25,-24.6564311634191
-16,-13,-25,-25.7015773145769
-16,-12,-25,-18.1118981814117
-16,-11,-25,-14.4488929288344
-16,-10,-25,-12.6307496453842
-16,-9,-25,-11.926017634618
-16,-8,-25,-12.0224699470067
-16,-7,-25,-12.7585024535599
-16,-6,-25,-14.043565549902
-16,-5,-25,-15.8342341707874
-16,-4,-25,-18.1396857955718
-16,-3,-25,-21.0672705687158
-16,-2,-25,-24.9839798083149
-16,-1,-25,-31.2814366914817
-16,0,-25,-327.492177816269
-16,1,-25,-31.2814366914817
-16,2,-25,-24.9839798083149
-16,3,-25,-21.0672705687158
-16,4,-25,-18.1396857955718
-16,5,-25,-15.8342341707874
